NIF;clave;nomape;dirección;latitud;longitud
10982609X;pU7Pqqk;Marlie Klassmann;1133 Blaine Place;37,104220;-8,000308
92139205N;ipbb9sHKa;Caria MacIlwrick;0 Mosinee Place;42,172865;0,833745
34536319T;4pUF1OcsIG;Lauren Cootes;854 Dunning Trail;36,424498;-3,252086
10801728L;QhmLb4o5;Harman Bale;241 Alpine Center;43,002225;1,645502
35382257D;7ho4Ror;Carr Zanardii;3 Manley Pass;42,151523;-8,951018
37864728U;YDpE4jX2T5;Dannie Halvosen;24 Northport Way;37,678110;2,933725
84248538P;M58pmr5njMFO;Westleigh Kidstoun;9214 Anzinger Lane;42,277007;-2,058070
57800852L;Ov3xZ7CDcn3n;Quintilla Haldenby;47407 Ridge Oak Point;41,999226;-8,143156
79854052O;EUPMgezW1;Padraig Flewin;03 Tennyson Trail;36,660754;3,077642
00463415C;TcyTS6ZOA;Stearn Pollie;2198 Knutson Hill;42,502938;-3,532391
10756312E;gNlOluN2VY;Beauregard Halling;4 Algoma Crossing;38,209298;-3,919535
98803670M;pzTC1m9jsXvb;Jilli O'Fallowne;20 Bashford Street;41,925213;-8,394435
47401925F;8cRX7Cfku;Leodora Coupman;37378 Surrey Drive;36,484999;-3,378311
17420418F;TqOT0sBhdqMF;Madella Schorah;428 Northport Way;41,302226;-0,427407
77686450I;EELBHZi;Ronni Cristofolini;48 Lyons Park;36,962013;-5,832607
37906620D;yeifchC0;Sigvard Kepp;2113 Michigan Parkway;37,227268;-8,141407
65474681I;jVKnmk;Rowland Eglaise;07 Monica Road;36,706364;-8,894902
64772731E;3u1neulIH;Lark Rollett;7 Burrows Street;36,577723;-7,610970
62649776M;x2HAcqkII;Ken Marciek;92762 David Road;40,580253;0,139263
06602903V;3DZ888;Oralla Earengey;488 Grasskamp Plaza;40,982255;-7,882574
44125609A;fLNUi4;Clea Aronstam;3217 Gulseth Way;36,047077;1,262455
45793792H;z1XG6sdo9aa;Uri Carah;3356 Butternut Center;40,505751;-1,841301
82646444J;ilDvORD;Bertina Gantz;3 Summit Court;36,593812;-3,555559
61576601U;oNc6VUsj1Aih;Arlen Mandrier;70 Oneill Court;36,073897;-4,354780
47775220Z;Ge4fCbJBSTpb;Meggie Lopez;4951 Tennyson Plaza;36,755014;-2,925663
80329190Q;XF6SnZJT;Sean Mulloch;4045 Canary Crossing;42,292759;-5,543197
23794291D;xFcQZWuL6;Arlen Steutly;9641 Golf Course Crossing;40,036524;-5,572202
71977774V;VRJE8iFR8A6G;Stanley Britzius;7806 Bultman Point;39,858534;-4,072781
44224343D;6bSlFEmP;Lucky Harriagn;15 Merchant Alley;39,654459;-6,146488
73625759U;ApUGpQstl;Garnet Napoli;80 Kim Junction;38,577126;2,654525
43694363C;4GtsqChERc7;Mella Duerdin;3 Westend Way;39,684048;1,311820
86661878O;prff3yPC;Pavia Adamov;55 Main Terrace;37,470541;2,677275
67462104W;DIL3ITLSNL5y;Alene Inder;944 Calypso Junction;41,797562;1,391193
67318919N;Q6nk5S;Michal Pasfield;6 Old Shore Way;38,490859;-8,866857
51948111I;ujPPPKt;Eleni Cabble;065 Hayes Court;42,034247;-5,611388
43947063M;QFgSdqQ6tG;Sebastien Antonetti;9469 Cascade Pass;37,006628;-4,390974
80591899Z;WjWyniDmIg;Audie Jex;7 School Hill;38,597042;-8,870626
03669055J;7LnFJaE6;Genny Poat;39127 Sauthoff Trail;38,318141;-3,149674
41962796K;oZ8w5lrzRT;Ed Lias;42929 Judy Avenue;38,080146;0,176345
58544156P;2LRPHouI;Felix Yeowell;2784 Milwaukee Circle;42,475829;-1,316912
21346140R;SCWJ9Mbrlc;Sascha Norwell;008 Hagan Lane;41,578839;-6,761273
34209945I;NR4wBXrX;Anthiathia Bysouth;9907 Blackbird Crossing;36,604466;-5,949802
86347639M;VOdbAE5P9U;Dill Jencey;45 Washington Alley;38,257295;2,740725
47272034Q;KM3pBujG8eZm;Ferdinanda Andras;5 Iowa Avenue;38,514304;-6,462575
74412636E;Po3dQgg3f;Cesaro Dunmuir;86 Knutson Way;35,866880;-0,853389
70559804K;j1B66WGrwNw;Iolanthe Tant;0 Hudson Park;36,510968;-3,665588
63537809N;jbLMyR6l9g3;Christopher Rouke;75 Thackeray Place;41,351343;-1,327908
15313304T;w234hqzbq;Karilynn Starsmeare;5518 Orin Alley;38,276586;-3,345546
77971364M;lAwnnY;Robert Danser;4 Clarendon Point;40,372208;1,131733
71979879R;2qy2CMxaO;Gaelan Somner;9 Alpine Place;35,905768;2,502425
20184355Q;qqIYgFQ;Ephraim Yvon;882 Reinke Park;42,011820;-8,021074
22827377M;YeuzHko;Costa Labarre;55856 Eliot Alley;40,384076;0,137457
03617327R;HWCy4Bjg4G;Royall Sewill;9 Sutherland Way;42,965072;1,485007
22232005I;k2Yq0Uac;Lammond Trewinnard;0 Jay Drive;37,161881;2,415579
22446396L;eKyxnHhIiQ3g;Patience MacTerrelly;29240 Manley Parkway;42,645892;1,538534
37438509C;U6HQKbk;Emanuel Grayne;47160 Pearson Park;38,923898;-6,079566
12862315U;EgPGPcyDQ;Creight Tampion;0 Delaware Hill;36,557625;2,664915
06028289H;y29pM16n3q;Fancy Lidgertwood;74456 Killdeer Drive;36,417693;-1,405763
24025243R;1VDCqSOhM7B;Tadeas Hadkins;2018 Trailsway Street;37,317539;-6,348481
19446551O;TqrCo6;Karney Asplen;4448 Leroy Court;39,773394;1,577410
13563339E;EF8EVQOag;Winnifred Brauns;92573 Springview Avenue;43,176805;-6,985261
22553916X;Mf2L8oq731;Rodge Foran;79 Boyd Court;42,785800;2,396325
47406310Y;HVLB9UMsPia;Bard Demann;16066 Messerschmidt Court;40,820421;-5,591379
64119669I;79DLgosj;Ranique Quinevan;989 Dixon Plaza;38,377186;2,254280
04214149U;VaTjKhs;Aurel Poveleye;1584 Coolidge Way;37,178131;-4,026213
